id,ids,url,source,localPath,status,format,width,height,blackRatio,whiteRatio,grayRatio,hsvSaturationOverThresholdRatio,rgbSaturationOverThresholdRatio,rgbNonGrayRatio,decodedRgbSha256,issues,error
page-animal-crossing-42,page-animal-crossing-42,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415898951.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-43,page-animal-crossing-43,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415907779.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-44,page-animal-crossing-44,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415916572.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-45,page-animal-crossing-45,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415925570.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-46,page-animal-crossing-46,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415934258.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-47,page-animal-crossing-47,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415943258.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-48,page-animal-crossing-48,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415952071.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-49,page-animal-crossing-49,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415961015.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-50,page-animal-crossing-50,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415969602.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-51,page-animal-crossing-51,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415978453.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-52,page-animal-crossing-52,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415987063.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-53,page-animal-crossing-53,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Isabelles_Animal_Crossing_Reception.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-54,page-animal-crossing-54,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Tom_Nooks_Stand.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-farm-animals-1,page-farm-animals-1,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animals/A_Laughing_Lion_1788270784404.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-farm-animals-2,page-farm-animals-2,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animals/A_Lion_Family_Gathering_Under_a_Tree_1788436483659.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-farm-animals-3,page-farm-animals-3,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animals/A_Lion_Family_Under_a_Tree_1788436359356.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-farm-animals-4,page-farm-animals-4,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animals/A_Lion_Family_in_Nature_1788436510026.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-farm-animals-5,page-farm-animals-5,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animals/A_Lion_and_Dog_Under_a_Tree_1788436695683.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-farm-animals-6,page-farm-animals-6,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animals/A_Lions_Family_Moment_1788436403730.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-farm-animals-7,page-farm-animals-7,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animals/A_Lions_Family_Moment_1788436474750.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
